Payment Mode,Total Transactions count,Total Amount,Quarter,Year,State
Peer-to-peer payments,1753,10383413.24667049,4,2019,lakshadweep
Merchant payments,188,211413.62244321496,4,2019,lakshadweep
Financial Services,2,34.39721181625656,4,2019,lakshadweep
Others,21,56896.23813384895,4,2019,lakshadweep
Recharge & bill payments,2684,789255.2646123999,1,2020,lakshadweep
Peer-to-peer payments,2068,12463327.26183683,1,2020,lakshadweep
Merchant payments,387,216594.03077193064,1,2020,lakshadweep
Others,12,33192.017283045374,1,2020,lakshadweep
Recharge & bill payments,4497,1061694.138574572,2,2020,lakshadweep
Peer-to-peer payments,2176,14718605.188911092,2,2020,lakshadweep
Merchant payments,472,971609.4583537823,2,2020,lakshadweep
Financial Services,60,158593.59701229632,2,2020,lakshadweep
Others,15,32419.703092655054,2,2020,lakshadweep
Recharge & bill payments,4696,1186947.553816269,3,2020,lakshadweep
Peer-to-peer payments,2946,19189391.61874283,3,2020,lakshadweep
Merchant payments,903,842981.169451366,3,2020,lakshadweep
Financial Services,27,45457.50970027798,3,2020,lakshadweep
Others,17,42055.45694608544,3,2020,lakshadweep
Recharge & bill payments,5187,1499298.1127799235,4,2020,lakshadweep
Peer-to-peer payments,4741,27284123.245665,4,2020,lakshadweep
Merchant payments,1668,1227101.6378793938,4,2020,lakshadweep
Financial Services,22,13968.7539965527,4,2020,lakshadweep
Others,32,86826.16675951776,4,2020,lakshadweep
Peer-to-peer payments,3942,24823715.01742214,1,2021,lakshadweep
Recharge & bill payments,3541,1070209.4218526704,1,2021,lakshadweep
Merchant payments,1537,1040213.7953898906,1,2021,lakshadweep
Financial Services,19,15929.095105497145,1,2021,lakshadweep
Others,46,92715.5843109472,1,2021,lakshadweep
Recharge & bill payments,5499,1745295.828077295,2,2021,lakshadweep
Peer-to-peer payments,4069,23996417.49366483,2,2021,lakshadweep
Merchant payments,1743,1525331.9146529401,2,2021,lakshadweep
Financial Services,29,15052.018496008179,2,2021,lakshadweep
Others,44,101366.40306045809,2,2021,lakshadweep
Peer-to-peer payments,5687,34142107.52016985,3,2021,lakshadweep
Recharge & bill payments,5153,1700287.4734963956,3,2021,lakshadweep
Merchant payments,2450,2750367.063028222,3,2021,lakshadweep
Financial Services,48,137227.35390598275,3,2021,lakshadweep
Others,32,73174.28816768769,3,2021,lakshadweep
Peer-to-peer payments,7154,44696668.86120766,4,2021,lakshadweep
Recharge & bill payments,5355,2093901.2918026838,4,2021,lakshadweep
Merchant payments,2872,4071239.087436496,4,2021,lakshadweep
Financial Services,27,19994.541946360278,4,2021,lakshadweep
Others,62,116381.74598782149,4,2021,lakshadweep
Peer-to-peer payments,7913,48590864.56835763,1,2022,lakshadweep
Recharge & bill payments,5334,2322580.1695599537,1,2022,lakshadweep
Merchant payments,3048,3838358.3586293925,1,2022,lakshadweep
Financial Services,39,38274.22628876488,1,2022,lakshadweep
Others,63,149355.3310943247,1,2022,lakshadweep
Peer-to-peer payments,8491,48451728.04746901,2,2022,lakshadweep
Recharge & bill payments,5366,2386144.714677198,2,2022,lakshadweep
Merchant payments,3602,4895657.060086848,2,2022,lakshadweep
Financial Services,59,87127.8249489804,2,2022,lakshadweep
Others,51,108944.34272364664,2,2022,lakshadweep
Peer-to-peer payments,7533,40029003.82575238,3,2022,lakshadweep
Recharge & bill payments,4441,1936538.3067545425,3,2022,lakshadweep
Merchant payments,3142,5469200.646094429,3,2022,lakshadweep
Financial Services,64,63629.88416689246,3,2022,lakshadweep
Others,61,81636.9547320153,3,2022,lakshadweep
Peer-to-peer payments,8686,47450386.0033243,4,2022,lakshadweep
Recharge & bill payments,4557,2024739.1542023947,4,2022,lakshadweep
Merchant payments,3819,5250991.002376802,4,2022,lakshadweep
Financial Services,35,26453.0247779254,4,2022,lakshadweep
Others,50,61304.43025482374,4,2022,lakshadweep
Recharge & bill payments,4404190,667057311.4560372,1,2018,madhya-pradesh
Peer-to-peer payments,2848290,7590790588.551904,1,2018,madhya-pradesh
Financial Services,230519,43374288.983730234,1,2018,madhya-pradesh
Merchant payments,196394,170119673.712754,1,2018,madhya-pradesh
Others,346002,210261540.7414958,1,2018,madhya-pradesh
Recharge & bill payments,5324535,1132090445.890336,2,2018,madhya-pradesh
Peer-to-peer payments,4269392,14155603482.49263,2,2018,madhya-pradesh
Merchant payments,397135,339308203.1707404,2,2018,madhya-pradesh
Financial Services,305553,53860331.80574275,2,2018,madhya-pradesh
Others,264797,243218603.3198562,2,2018,madhya-pradesh
Peer-to-peer payments,9988509,22057686208.544342,3,2018,madhya-pradesh
Recharge & bill payments,5733261,1367773856.675655,3,2018,madhya-pradesh
Merchant payments,784995,465390819.59013355,3,2018,madhya-pradesh
Financial Services,359440,46120458.63885435,3,2018,madhya-pradesh
Others,260780,212770861.2234169,3,2018,madhya-pradesh
Peer-to-peer payments,11456555,30897348664.90544,4,2018,madhya-pradesh
Recharge & bill payments,7273502,1669345516.941368,4,2018,madhya-pradesh
Merchant payments,2056426,1036249753.927803,4,2018,madhya-pradesh
Financial Services,313540,43367243.154430926,4,2018,madhya-pradesh
Others,297532,259296894.0382775,4,2018,madhya-pradesh
Peer-to-peer payments,23708825,44114206183.09186,1,2019,madhya-pradesh
Recharge & bill payments,9966905,2423593841.716142,1,2019,madhya-pradesh
Merchant payments,3018928,1263699222.350108,1,2019,madhya-pradesh
Financial Services,290838,28901169.29249904,1,2019,madhya-pradesh
Others,315553,239879105.5972368,1,2019,madhya-pradesh
Peer-to-peer payments,20868744,61758841793.87666,2,2019,madhya-pradesh
Recharge & bill payments,12044969,3571897178.303101,2,2019,madhya-pradesh
Merchant payments,7331352,2671155681.449155,2,2019,madhya-pradesh
Financial Services,149197,18869661.51348576,2,2019,madhya-pradesh
Others,451751,313802065.4154737,2,2019,madhya-pradesh
Peer-to-peer payments,22631038,67648107703.0357,3,2019,madhya-pradesh
Merchant payments,17163551,5147459307.101742,3,2019,madhya-pradesh
Recharge & bill payments,13156616,4576521609.4608345,3,2019,madhya-pradesh
Financial Services,192821,25654168.60092132,3,2019,madhya-pradesh
Others,466385,278578703.0441117,3,2019,madhya-pradesh
Peer-to-peer payments,32083162,92064471161.9892,4,2019,madhya-pradesh
Merchant payments,19447707,7304157801.612935,4,2019,madhya-pradesh
Recharge & bill payments,16081734,5104821720.999017,4,2019,madhya-pradesh
Financial Services,127116,24020060.93213319,4,2019,madhya-pradesh
Others,392270,190456045.32494444,4,2019,madhya-pradesh
Peer-to-peer payments,34540722,110325991607.3847,1,2020,madhya-pradesh
Merchant payments,24618074,9898242848.257929,1,2020,madhya-pradesh
Recharge & bill payments,19788516,6311610609.846225,1,2020,madhya-pradesh
Financial Services,68055,30645714.401902907,1,2020,madhya-pradesh
Others,351379,170790656.3033978,1,2020,madhya-pradesh
Peer-to-peer payments,34860958,128184693854.7977,2,2020,madhya-pradesh
Recharge & bill payments,27497528,8904067957.012121,2,2020,madhya-pradesh
Merchant payments,13685723,10666223053.63472,2,2020,madhya-pradesh
Financial Services,80988,62073621.44351514,2,2020,madhya-pradesh
Others,215376,104956802.1743797,2,2020,madhya-pradesh
Peer-to-peer payments,50871564,174978985034.2865,3,2020,madhya-pradesh
Merchant payments,31879804,20621273981.659657,3,2020,madhya-pradesh
Recharge & bill payments,25380467,9834190567.205517,3,2020,madhya-pradesh
Financial Services,131725,122971108.0706019,3,2020,madhya-pradesh
Others,316321,144259293.3158339,3,2020,madhya-pradesh
Peer-to-peer payments,67972167,235584201864.2234,4,2020,madhya-pradesh
Merchant payments,57707471,37315576877.14569,4,2020,madhya-pradesh
Recharge & bill payments,27335834,10977774483.32556,4,2020,madhya-pradesh
Financial Services,149532,132590450.0707424,4,2020,madhya-pradesh
Others,487537,264996097.6059612,4,2020,madhya-pradesh
Merchant payments,84812245,50098244499.506615,1,2021,madhya-pradesh
Peer-to-peer payments,84070625,279938170703.8171,1,2021,madhya-pradesh
Recharge & bill payments,32500681,13060914041.0394,1,2021,madhya-pradesh
Financial Services,169378,161838389.7954778,1,2021,madhya-pradesh
Others,445569,274786748.1299523,1,2021,madhya-pradesh
Peer-to-peer payments,99367521,348935762191.1048,2,2021,madhya-pradesh
Merchant payments,77113464,58839392449.9937,2,2021,madhya-pradesh
Recharge & bill payments,46118636,17230546398.84866,2,2021,madhya-pradesh
Financial Services,188726,177313389.66602692,2,2021,madhya-pradesh
Others,526333,317753606.0115695,2,2021,madhya-pradesh
Merchant payments,138433772,85885669792.43228,3,2021,madhya-pradesh
Peer-to-peer payments,127654821,398912712886.4574,3,2021,madhya-pradesh
Recharge & bill payments,44437315,19025346050.62772,3,2021,madhya-pradesh
Financial Services,174454,180366422.5824598,3,2021,madhya-pradesh
Others,742972,408508699.4365407,3,2021,madhya-pradesh
Merchant payments,197193842,126461098235.02321,4,2021,madhya-pradesh
Peer-to-peer payments,159649020,507118521843.3588,4,2021,madhya-pradesh
Recharge & bill payments,46220966,22492766779.15663,4,2021,madhya-pradesh
Financial Services,247925,246488171.3779264,4,2021,madhya-pradesh
Others,996331,568617375.5894115,4,2021,madhya-pradesh
Merchant payments,237691924,143310226696.7226,1,2022,madhya-pradesh
Peer-to-peer payments,185008444,578201697703.7521,1,2022,madhya-pradesh
Recharge & bill payments,48870314,25437774564.26215,1,2022,madhya-pradesh
Financial Services,222923,219927120.15944028,1,2022,madhya-pradesh
Others,909453,495513514.75128734,1,2022,madhya-pradesh
Merchant payments,287616385,174183397721.35928,2,2022,madhya-pradesh
Peer-to-peer payments,202093283,663180522499.3412,2,2022,madhya-pradesh
Recharge & bill payments,54318983,29125694281.81933,2,2022,madhya-pradesh
Financial Services,157672,153944499.7449031,2,2022,madhya-pradesh
Others,713506,381178326.3209058,2,2022,madhya-pradesh
Merchant payments,391105651,212445928287.3991,3,2022,madhya-pradesh
Peer-to-peer payments,267013695,780650402034.3962,3,2022,madhya-pradesh
Recharge & bill payments,72148870,39132574047.51802,3,2022,madhya-pradesh
Financial Services,240678,236981163.63162848,3,2022,madhya-pradesh
Others,750665,442608716.71893203,3,2022,madhya-pradesh
Merchant payments,492999084,272801597092.4764,4,2022,madhya-pradesh
Peer-to-peer payments,325467851,984255199293.6544,4,2022,madhya-pradesh
Recharge & bill payments,79289399,45143248068.817345,4,2022,madhya-pradesh
Financial Services,286931,278304972.6470296,4,2022,madhya-pradesh
Others,785003,521508120.7286146,4,2022,madhya-pradesh
Recharge & bill payments,9670237,2283567431.2235346,1,2018,maharashtra
Peer-to-peer payments,5227770,18283896464.7509,1,2018,maharashtra
Merchant payments,616779,576964070.7366859,1,2018,maharashtra
Financial Services,235051,60997258.06029972,1,2018,maharashtra
Others,637197,506188032.9539564,1,2018,maharashtra
Recharge & bill payments,12384216,3725800358.6814823,2,2018,maharashtra
Peer-to-peer payments,7772336,30782831245.6586,2,2018,maharashtra
Merchant payments,1306326,1226121649.498959,2,2018,maharashtra
Financial Services,262875,85545909.43528841,2,2018,maharashtra
Others,559987,536758077.84638786,2,2018,maharashtra
Recharge & bill payments,14371791,4547486090.186737,3,2018,maharashtra
Peer-to-peer payments,13470065,45466534003.980484,3,2018,maharashtra
Merchant payments,2797204,1702220875.434385,3,2018,maharashtra
Financial Services,234598,52348968.006728604,3,2018,maharashtra
Others,664880,492227795.6386977,3,2018,maharashtra
Peer-to-peer payments,20824667,68974011019.10294,4,2018,maharashtra
Recharge & bill payments,18071025,5860865070.470685,4,2018,maharashtra
Merchant payments,6047705,3985195742.248014,4,2018,maharashtra
Financial Services,325121,77345546.53012432,4,2018,maharashtra
Others,821705,621519669.4818641,4,2018,maharashtra
Peer-to-peer payments,37360716,97373087988.0887,1,2019,maharashtra
Recharge & bill payments,24540041,8256500586.651281,1,2019,maharashtra
Merchant payments,12069119,5172594695.5318,1,2019,maharashtra
Financial Services,287569,49487746.20873056,1,2019,maharashtra
Others,821624,569019903.8604957,1,2019,maharashtra
Peer-to-peer payments,42546317,130558153687.95421,2,2019,maharashtra
Recharge & bill payments,29395661,12197234771.43427,2,2019,maharashtra
Merchant payments,27854042,9728561726.767143,2,2019,maharashtra
Financial Services,182840,45291636.105074815,2,2019,maharashtra
Others,1170993,765228265.7976472,2,2019,maharashtra
Peer-to-peer payments,57991699,165731686168.55753,3,2019,maharashtra
Merchant payments,54683738,17545729507.39597,3,2019,maharashtra
Recharge & bill payments,34309301,15471698543.73959,3,2019,maharashtra
Financial Services,231467,54108447.39407451,3,2019,maharashtra
Others,1519376,814284077.8637519,3,2019,maharashtra
Merchant payments,80127804,27209874138.487553,4,2019,maharashtra
Peer-to-peer payments,78795871,227268054757.21692,4,2019,maharashtra
Recharge & bill payments,40705998,17794666215.04444,4,2019,maharashtra
Financial Services,129755,49622863.824426055,4,2019,maharashtra
Others,1501192,672210824.9770112,4,2019,maharashtra
Merchant payments,100337738,35200130304.82776,1,2020,maharashtra
Peer-to-peer payments,87067410,262541205695.8384,1,2020,maharashtra
Recharge & bill payments,50199498,21603565070.425602,1,2020,maharashtra
Financial Services,123476,91363684.1276232,1,2020,maharashtra
Others,1215959,558931962.876125,1,2020,maharashtra
Peer-to-peer payments,74295930,239933338682.6934,2,2020,maharashtra
Recharge & bill payments,60856480,23112343247.416138,2,2020,maharashtra
Merchant payments,48965388,32859184582.21904,2,2020,maharashtra
Financial Services,206461,211733275.7829895,2,2020,maharashtra
Others,466502,242917371.3033281,2,2020,maharashtra
Peer-to-peer payments,108436214,351555554813.2122,3,2020,maharashtra
Merchant payments,100808237,60171102123.94888,3,2020,maharashtra
Recharge & bill payments,58082283,27915727882.59293,3,2020,maharashtra
Financial Services,325453,333669599.6188361,3,2020,maharashtra
Others,658737,331024593.0721529,3,2020,maharashtra
Merchant payments,189845640,103804638603.7461,4,2020,maharashtra
Peer-to-peer payments,151741840,485747881733.82294,4,2020,maharashtra
Recharge & bill payments,64556682,31556917821.77767,4,2020,maharashtra
Financial Services,398409,418399992.53957707,4,2020,maharashtra
Others,1078433,627692680.4078207,4,2020,maharashtra
Merchant payments,253043309,129493046208.1572,1,2021,maharashtra
Peer-to-peer payments,187021609,599213284361.7993,1,2021,maharashtra
Recharge & bill payments,76389103,40057211827.159615,1,2021,maharashtra
Financial Services,439551,492900202.6831521,1,2021,maharashtra
Others,966668,630909553.4508264,1,2021,maharashtra
Merchant payments,247194293,150864465217.023,2,2021,maharashtra
Peer-to-peer payments,228551961,719859665693.5271,2,2021,maharashtra
Recharge & bill payments,96271138,43154405548.44597,2,2021,maharashtra
Financial Services,504252,536780917.03591573,2,2021,maharashtra
Others,1094842,699738247.6695637,2,2021,maharashtra
Merchant payments,390051884,216701984638.98932,3,2021,maharashtra
Peer-to-peer payments,296951706,890860873379.5576,3,2021,maharashtra
Recharge & bill payments,103943973,50242023586.05604,3,2021,maharashtra
Financial Services,448646,579098938.658318,3,2021,maharashtra
Others,1477851,873324624.1826177,3,2021,maharashtra
Merchant payments,540351277,305512280091.4157,4,2021,maharashtra
Peer-to-peer payments,361865450,1109862480618.222,4,2021,maharashtra
Recharge & bill payments,105990417,58087950922.43887,4,2021,maharashtra
Financial Services,606265,707102765.3058928,4,2021,maharashtra
Others,1918093,1188658731.117536,4,2021,maharashtra
Merchant payments,646277671,340240479374.3683,1,2022,maharashtra
Peer-to-peer payments,411989717,1274889182430.209,1,2022,maharashtra
Recharge & bill payments,108896881,64507860103.55089,1,2022,maharashtra
Financial Services,583243,677612619.2786882,1,2022,maharashtra
Others,1758926,1084139453.7274752,1,2022,maharashtra
Merchant payments,810961772,428469294407.1603,2,2022,maharashtra
Peer-to-peer payments,470258043,1501201968773.811,2,2022,maharashtra
Recharge & bill payments,124280427,75110969246.16316,2,2022,maharashtra
Financial Services,490152,559321829.4503716,2,2022,maharashtra
Others,1542719,930827919.3035389,2,2022,maharashtra
Merchant payments,876618082,432250721734.13074,3,2022,maharashtra
Peer-to-peer payments,483481713,1434565548650.913,3,2022,maharashtra
Recharge & bill payments,124545840,79360150487.36568,3,2022,maharashtra
Financial Services,521362,571583115.6687979,3,2022,maharashtra
Others,1222420,831183386.4681726,3,2022,maharashtra
Merchant payments,1025666187,502660888415.46185,4,2022,maharashtra
Peer-to-peer payments,535142126,1622619308526.9612,4,2022,maharashtra
Recharge & bill payments,126118544,83576414221.03232,4,2022,maharashtra
Financial Services,620124,699276779.1906543,4,2022,maharashtra
Others,1228291,914951674.4842073,4,2022,maharashtra
Recharge & bill payments,50212,6463184.554711691,1,2018,manipur
Peer-to-peer payments,26382,115495173.5579644,1,2018,manipur
Financial Services,2660,412579.53985461866,1,2018,manipur
Merchant payments,1614,3616475.6407912206,1,2018,manipur
Others,3201,2058760.6368871084,1,2018,manipur
Recharge & bill payments,77991,11541247.78442091,2,2018,manipur
Peer-to-peer payments,60365,232157389.79148027,2,2018,manipur
Financial Services,5992,1241901.2660397931,2,2018,manipur
Merchant payments,4041,5366759.827729835,2,2018,manipur
Others,3332,2902422.6498233806,2,2018,manipur
Peer-to-peer payments,95204,357768750.1845896,3,2018,manipur
Recharge & bill payments,81323,13912990.484925142,3,2018,manipur
Merchant payments,7396,9180953.977358334,3,2018,manipur
Financial Services,2577,333081.6368315,3,2018,manipur
Others,2758,2135468.510417797,3,2018,manipur
Recharge & bill payments,113507,18898063.28238317,4,2018,manipur
Peer-to-peer payments,104872,562009595.9601889,4,2018,manipur
Merchant payments,13333,20685433.284307167,4,2018,manipur
Financial Services,1452,307325.2437723951,4,2018,manipur
Others,2946,3783141.5353601985,4,2018,manipur
Peer-to-peer payments,127067,619919870.7455351,1,2019,manipur
Recharge & bill payments,120000,22106830.36914923,1,2019,manipur
Merchant payments,15190,14580183.380707521,1,2019,manipur
Financial Services,800,174777.17283837448,1,2019,manipur
Others,2352,3116398.755848917,1,2019,manipur
Peer-to-peer payments,120153,679785849.1398684,2,2019,manipur
Recharge & bill payments,116500,23573234.27306028,2,2019,manipur
Merchant payments,18044,15996651.145700552,2,2019,manipur
Financial Services,387,91955.01538259834,2,2019,manipur
Others,2341,3342252.5754885403,2,2019,manipur
Recharge & bill payments,180057,36634657.049143404,3,2019,manipur
Peer-to-peer payments,144965,803335616.6325191,3,2019,manipur
Merchant payments,17683,20490224.44304125,3,2019,manipur
Financial Services,358,367865.7884662621,3,2019,manipur
Others,1945,2723638.649764262,3,2019,manipur
Recharge & bill payments,212136,44202546.5739608,4,2019,manipur
Peer-to-peer payments,211927,1123258478.445069,4,2019,manipur
Merchant payments,23094,30486780.44638214,4,2019,manipur
Financial Services,548,240641.7657683481,4,2019,manipur
Others,1639,2709234.857456133,4,2019,manipur
Peer-to-peer payments,451733,2458093401.740467,1,2020,manipur
Recharge & bill payments,285234,62688260.37954809,1,2020,manipur
Merchant payments,78067,74202067.0664826,1,2020,manipur
Financial Services,622,354184.4660589617,1,2020,manipur
Others,3145,3252467.2243867153,1,2020,manipur
Peer-to-peer payments,533206,2980242535.0754433,2,2020,manipur
Recharge & bill payments,450830,107589094.2989046,2,2020,manipur
Merchant payments,92110,106540409.2988668,2,2020,manipur
Financial Services,1676,1457570.8004862315,2,2020,manipur
Others,5246,3106603.331810386,2,2020,manipur
Peer-to-peer payments,774786,4301284799.331292,3,2020,manipur
Recharge & bill payments,464659,113190539.1496906,3,2020,manipur
Merchant payments,170653,195132026.6311202,3,2020,manipur
Financial Services,1878,1593035.944066228,3,2020,manipur
Others,8192,4775719.8143366445,3,2020,manipur
Peer-to-peer payments,892853,5172499337.5304365,4,2020,manipur
Recharge & bill payments,436450,114202616.34869759,4,2020,manipur
Merchant payments,289050,307902115.3820773,4,2020,manipur
Financial Services,1806,2448402.9142817147,4,2020,manipur
Others,7693,5172086.283260544,4,2020,manipur
Peer-to-peer payments,1117829,6402367883.667422,1,2021,manipur
Recharge & bill payments,796590,223955812.5864439,1,2021,manipur
Merchant payments,377280,433297594.1352152,1,2021,manipur
Financial Services,3398,4385333.1754908115,1,2021,manipur
Others,8438,6280890.914669826,1,2021,manipur
Peer-to-peer payments,1372821,7041837917.785187,2,2021,manipur
Recharge & bill payments,1187952,305103750.5728581,2,2021,manipur
Merchant payments,510734,531484849.4914169,2,2021,manipur
Financial Services,4165,4256098.232237183,2,2021,manipur
Others,10603,7145346.314942012,2,2021,manipur
Peer-to-peer payments,1819423,9134806594.528189,3,2021,manipur
Recharge & bill payments,1368584,367664440.5323726,3,2021,manipur
Merchant payments,735707,889317377.086526,3,2021,manipur
Financial Services,3460,5625517.975461649,3,2021,manipur
Others,14222,9447098.78230339,3,2021,manipur
Peer-to-peer payments,2199970,10998828287.529041,4,2021,manipur
Recharge & bill payments,1451488,412791673.80376637,4,2021,manipur
Merchant payments,1013985,1229517397.456187,4,2021,manipur
Financial Services,4671,5941100.580610943,4,2021,manipur
Others,17325,11393578.84222715,4,2021,manipur
Peer-to-peer payments,2517626,12169368063.4095,1,2022,manipur
Recharge & bill payments,1528476,469035958.3484127,1,2022,manipur
Merchant payments,1247205,1489604137.209088,1,2022,manipur
Financial Services,4878,6057615.527015026,1,2022,manipur
Others,15494,10435303.87979853,1,2022,manipur
Peer-to-peer payments,2843426,12704512238.8096,2,2022,manipur
Merchant payments,1709547,1757831052.0706978,2,2022,manipur
Recharge & bill payments,1533778,448637966.718931,2,2022,manipur
Financial Services,4069,4753628.558008127,2,2022,manipur
Others,14812,7175748.992065379,2,2022,manipur
Peer-to-peer payments,3127266,12927705072.13747,3,2022,manipur
Merchant payments,1829741,2010460357.0881658,3,2022,manipur
Recharge & bill payments,1379911,432182393.8403873,3,2022,manipur
Financial Services,4524,4671353.405444902,3,2022,manipur
Others,11300,6411090.828254536,3,2022,manipur
Peer-to-peer payments,3259645,13133729481.472109,4,2022,manipur
Merchant payments,1828984,2074698993.4220653,4,2022,manipur
Recharge & bill payments,1325391,406031254.0798015,4,2022,manipur
Financial Services,4691,5754919.963910458,4,2022,manipur
Others,9959,5742049.403589871,4,2022,manipur
Recharge & bill payments,31857,6028476.149090356,1,2018,meghalaya
Peer-to-peer payments,13274,55943496.515886314,1,2018,meghalaya
Merchant payments,1605,2395888.4397623385,1,2018,meghalaya
Financial Services,532,144318.2545571151,1,2018,meghalaya
Others,2303,1738080.43060439,1,2018,meghalaya
Recharge & bill payments,42625,9657896.164724296,2,2018,meghalaya
Peer-to-peer payments,19894,101140464.66239841,2,2018,meghalaya
Merchant payments,2929,3663446.436220131,2,2018,meghalaya
Financial Services,592,580648.3434132106,2,2018,meghalaya
Others,1817,1962212.2350756058,2,2018,meghalaya
Recharge & bill payments,60625,14231601.45337125,3,2018,meghalaya
Peer-to-peer payments,40832,187460582.0575471,3,2018,meghalaya
Merchant payments,5802,5458930.689379572,3,2018,meghalaya
Financial Services,748,552674.5783359876,3,2018,meghalaya
Others,2283,2149872.755760235,3,2018,meghalaya
Recharge & bill payments,82962,18100891.63734417,4,2018,meghalaya
Peer-to-peer payments,58952,301941442.7059927,4,2018,meghalaya
Merchant payments,15768,14434314.19334248,4,2018,meghalaya
Financial Services,763,190875.18848979956,4,2018,meghalaya
Others,2687,2918155.2795046642,4,2018,meghalaya
Recharge & bill payments,98817,23006751.7955049,1,2019,meghalaya
Peer-to-peer payments,90694,358932132.1046898,1,2019,meghalaya
Merchant payments,16073,14297275.23052785,1,2019,meghalaya
Financial Services,659,62335.064750311045,1,2019,meghalaya
Others,2498,2738667.957962149,1,2019,meghalaya
Recharge & bill payments,108812,27248605.429233354,2,2019,meghalaya
Peer-to-peer payments,97407,446537199.1735683,2,2019,meghalaya
Merchant payments,22588,15600927.00662913,2,2019,meghalaya
Financial Services,460,106800.75308155928,2,2019,meghalaya
Others,3019,3437756.744766518,2,2019,meghalaya
Recharge & bill payments,155949,38916251.421657145,3,2019,meghalaya
Peer-to-peer payments,116168,546221812.6889315,3,2019,meghalaya
Merchant payments,31201,23461321.88981022,3,2019,meghalaya
Financial Services,421,584192.9488108774,3,2019,meghalaya
Others,2811,3035023.204323471,3,2019,meghalaya
Recharge & bill payments,175084,43611775.02621875,4,2019,meghalaya
Peer-to-peer payments,163734,670870023.4297696,4,2019,meghalaya
Merchant payments,24430,25344714.50557894,4,2019,meghalaya
Financial Services,382,124511.63613216748,4,2019,meghalaya
Others,2351,2485447.192519395,4,2019,meghalaya
Recharge & bill payments,226214,59666071.21530793,1,2020,meghalaya
Peer-to-peer payments,216022,1013733312.3935759,1,2020,meghalaya
Merchant payments,57245,44125206.34755945,1,2020,meghalaya
Financial Services,473,402779.89033132966,1,2020,meghalaya
Others,2329,2207471.061039081,1,2020,meghalaya
Recharge & bill payments,382662,100570200.2527169,2,2020,meghalaya
Peer-to-peer payments,202270,998750895.9111594,2,2020,meghalaya
Merchant payments,46014,48980521.41595118,2,2020,meghalaya
Financial Services,1186,2944583.114737345,2,2020,meghalaya
Others,3263,2488953.643832149,2,2020,meghalaya
Recharge & bill payments,342484,97662913.13408674,3,2020,meghalaya
Peer-to-peer payments,194448,1065012681.71261,3,2020,meghalaya
Merchant payments,55595,67511647.1349487,3,2020,meghalaya
Financial Services,1587,4049966.8133478058,3,2020,meghalaya
Others,3465,2821792.5880408054,3,2020,meghalaya
Recharge & bill payments,350006,102794647.7641504,4,2020,meghalaya
Peer-to-peer payments,286252,1579858348.067054,4,2020,meghalaya
Merchant payments,111471,115136797.58942299,4,2020,meghalaya
Financial Services,1809,2774557.112070617,4,2020,meghalaya
Others,4470,3678221.666272167,4,2020,meghalaya
Peer-to-peer payments,326993,1794745857.318895,1,2021,meghalaya
Recharge & bill payments,306634,106098525.6561472,1,2021,meghalaya
Merchant payments,108805,147747773.0189682,1,2021,meghalaya
Financial Services,1777,3981898.0457751974,1,2021,meghalaya
Others,3437,2941223.950049905,1,2021,meghalaya
Recharge & bill payments,389959,129031455.70772581,2,2021,meghalaya
Peer-to-peer payments,366411,1885041503.797046,2,2021,meghalaya
Merchant payments,147406,173894963.0043967,2,2021,meghalaya
Financial Services,1766,2306496.854595862,2,2021,meghalaya
Others,4052,3342835.5268340455,2,2021,meghalaya
